,discount rate 0,discount rate 1,discount rate 2,A.0_ID flood wave shape,A.1_Bmax,A.1_pfail,A.1_Brate,A.2_Bmax,A.2_pfail,A.2_Brate,A.3_Bmax,A.3_pfail,A.3_Brate,A.4_Bmax,A.4_pfail,A.4_Brate,A.5_Bmax,A.5_pfail,A.5_Brate,Expected Annual Damage Gelderland,Dike Investment Costs Gelderland,Expected Number of Deaths in Gelderland,Expected Annual Damage Overijssel,Dike Investment Costs Overijssel,Expected Number of Deaths in Overijssel,RfR Total Costs,Expected Total Evacuation Costs
0,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",73,37.72311602321362,0.419889145794579,"Category('10', 10)",258.04451192125657,0.6194401812087893,"Category('10', 10)",36.60572255088805,0.39919868353702986,"Category('10', 10)",114.69763733934266,0.6247799188100219,"Category('10', 10)",173.09734877273115,0.0012718322615102862,"Category('1.5', 1.5)",1355893947.6412456,0,1.0289478192983168,1475536276.2349167,0,0.9272582029869691,0.0,0.0
1,"Category('1.5', 1.5)","Category('2.5', 2.5)","Category('1.5', 1.5)",35,31.474092680968973,0.21991777792160466,"Category('10', 10)",34.726839822872314,0.05013272570206656,"Category('10', 10)",233.8701711060221,0.07489586230606687,"Category('1.0', 1.0)",160.42663423567973,0.9944940082998314,"Category('1.5', 1.5)",152.79003943044816,0.9741457177462316,"Category('1.0', 1.0)",6828892502.223862,0,5.627660593759082,0.0,0,0.0,0.0,0.0
2,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",54,110.97820563625368,0.6585308456019855,"Category('10', 10)",61.443091279095874,0.5763372245209636,"Category('10', 10)",137.73866767436306,0.5501346810851377,"Category('10', 10)",156.38595255469983,0.5430268846900561,"Category('1.0', 1.0)",179.3503404152928,0.006891021104051681,"Category('1.0', 1.0)",264537208.11977836,0,0.2548275409669825,1527845866.2838283,0,0.9612039187277097,0.0,0.0
3,"Category('2.5', 2.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",16,76.24613967632601,0.33403794308893686,"Category('1.0', 1.0)",71.43450133556827,0.06845559311237495,"Category('1.5', 1.5)",43.00213620799635,0.02765075411850859,"Category('1.0', 1.0)",76.69636252084658,0.7331312700427941,"Category('1.5', 1.5)",155.68074421154864,0.0011290585351727556,"Category('1.5', 1.5)",6471253692.739782,0,5.420954392027484,984818057.9754887,0,0.6283099240245977,0.0,0.0
4,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",65,34.411363551857576,0.5973326156150266,"Category('1.5', 1.5)",238.70531595787503,0.699837770097678,"Category('1.0', 1.0)",37.80374345763969,0.10369968366117249,"Category('1.5', 1.5)",34.903168159090896,0.26826696019102636,"Category('1.5', 1.5)",113.50701550351093,1.1869262839803163e-06,"Category('1.5', 1.5)",2726291378.889646,0,3.3409607731315,1337350010.845491,0,0.8131815593108175,0.0,0.0
5,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",105,62.241399534188204,0.38061586657057583,"Category('1.5', 1.5)",295.8755699758924,0.7323664024915515,"Category('1.0', 1.0)",30.03930332007573,0.2758600686448452,"Category('1.0', 1.0)",96.53061288854958,0.644960946344323,"Category('1.0', 1.0)",131.11925708255905,0.0004108242275846969,"Category('10', 10)",2703103241.9825015,0,2.207090865714499,1411514397.5911608,0,0.8805306255599756,0.0,0.0
6,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",96,128.61817749450424,0.9883619549593837,"Category('10', 10)",304.2986099382638,0.944118260207512,"Category('1.5', 1.5)",192.54138668068393,0.8138757429659113,"Category('1.5', 1.5)",204.3274305738265,0.4486266241243172,"Category('1.0', 1.0)",113.3811031005406,1.3329186452810948e-05,"Category('1.5', 1.5)",78314729.80987363,0,0.10131708286100184,1551369200.4509013,0,0.9626408387176679,0.0,0.0
7,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",23,30.693563935534325,0.2952820093873793,"Category('1.5', 1.5)",253.54518040926348,0.5308205261764309,"Category('1.5', 1.5)",47.002515573360554,0.29425655753446595,"Category('1.0', 1.0)",128.1994495066668,0.741030455046974,"Category('10', 10)",174.40420405489556,0.0001236186878754708,"Category('1.0', 1.0)",4302618066.593506,0,2.6041322293511,1372488012.29461,0,0.851997779672019,0.0,0.0
8,"Category('1.5', 1.5)","Category('3.5', 3.5)","Category('1.5', 1.5)",103,30.021243987411914,0.3448418729010746,"Category('1.0', 1.0)",309.2828593220995,0.8245709105349909,"Category('1.5', 1.5)",97.53542835312672,0.7691436930997541,"Category('1.5', 1.5)",81.67753980397106,0.5166852793595367,"Category('1.0', 1.0)",239.55172475978122,0.00506667193271957,"Category('1.0', 1.0)",2283649175.615599,0,1.3385841709306505,1293263598.015459,0,0.9285100675086064,0.0,0.0
9,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",88,30.17821468102413,0.3942291685245194,"Category('1.5', 1.5)",125.9691454142045,0.45619617293984216,"Category('1.0', 1.0)",39.3106521203088,0.00362921028374108,"Category('1.0', 1.0)",348.84750413937235,0.5259643153935873,"Category('1.0', 1.0)",147.25716002898156,4.7194351111574245e-05,"Category('1.5', 1.5)",4289766917.5003915,0,4.110522136309241,1232040884.6338196,0,0.7494252018675869,0.0,0.0
